version,list_date,match_id,kickoff_at,morning_decision_id,morning_run_id,morning_baseline_type,latest_prematch_decision_id,latest_run_id,direction_changed,candidate_team_changed,line_changed,water_changed,action_or_grade_changed,ev_changed,p_ev_positive_changed,transition
V3,2026-09-16,3072984,2026-09-17T06:00:00+08:00,85c12c4770669fb99cdb,RUN_20260916_072846,MORNING_BASELINE,c4f4129d59cbdd159c06,RUN_20260916_205341,False,True,True,True,False,False,False,盘口变化
V3,2026-09-16,3072642,2026-09-17T06:00:00+08:00,f87900a11cc25cb1f297,RUN_20260916_072846,MORNING_BASELINE,3493456ed68dbaec5f94,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,2942617,2026-09-17T06:00:00+08:00,07929e28b739315c0f38,RUN_20260916_072846,MORNING_BASELINE,d3c10fa54af35812f27e,RUN_20260916_205341,True,True,True,True,False,False,False,改向
V3,2026-09-16,3069962,2026-09-17T06:00:00+08:00,5e37120c9dc2edabfd12,RUN_20260916_072846,MORNING_BASELINE,8e5229775d1a37d9a4fc,RUN_20260916_205341,False,True,True,True,False,False,False,盘口变化
V3,2026-09-16,3085728,2026-09-17T06:00:00+08:00,813d4501b6be35e1e921,RUN_20260916_072846,MORNING_BASELINE,58f36da68a2c55c66d8f,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,2910828,2026-09-17T06:30:00+08:00,e8a8aa09d7c6249bcf66,RUN_20260916_072846,MORNING_BASELINE,7056f103af2e7a56ad36,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,2955373,2026-09-17T07:00:00+08:00,bb5be5896f3af555607d,RUN_20260916_072846,MORNING_BASELINE,605aa52a85fdf0829e16,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,2955377,2026-09-17T07:00:00+08:00,158411316cbe4b574683,RUN_20260916_072846,MORNING_BASELINE,93cf67c127622bb9055e,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,2955374,2026-09-17T07:30:00+08:00,6c87e3c0cf842b659250,RUN_20260916_072846,MORNING_BASELINE,4ce1495e2adbcb95833e,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,3069173,2026-09-17T08:00:00+08:00,af28b6561cb726cec6cc,RUN_20260916_072846,MORNING_BASELINE,11b84daea8a4641c0967,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,3085190,2026-09-17T08:30:00+08:00,29be6052cee1f1fb694f,RUN_20260916_072846,MORNING_BASELINE,b33da5c9faa9fe0330db,RUN_20260916_205341,True,True,False,True,False,False,False,改向
V3,2026-09-16,3059140,2026-09-17T08:30:00+08:00,40d8efe7bee6ee9d3afd,RUN_20260916_072846,MORNING_BASELINE,92782b8b799156c2adba,RUN_20260916_205341,False,True,False,True,False,False,False,水位变化
V3,2026-09-16,2942514,2026-09-17T08:30:00+08:00,687e22d18e45bf9cbbf1,RUN_20260916_072846,MORNING_BASELINE,d0b47103a309eb12ae9e,RUN_20260916_205341,True,True,False,True,True,False,False,撤出
V3,2026-09-16,3069961,2026-09-17T08:30:00+08:00,91b29a6136c7530ca4bb,RUN_20260916_072846,MORNING_BASELINE,cd132f502737330f8b94,RUN_20260916_205341,True,False,False,False,False,False,False,改向
V3,2026-09-16,2955372,2026-09-17T09:00:00+08:00,c6feffb6a52ba4eb3996,RUN_20260916_072846,MORNING_BASELINE,09be19dc9737894968a2,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V3,2026-09-16,3011884,2026-09-17T09:20:00+08:00,d3513ba4da74eb67977d,RUN_20260916_072846,MORNING_BASELINE,5e493ce1ab7cbed16b2d,RUN_20260916_205341,True,True,False,True,False,False,False,改向
V3,2026-09-16,3058272,2026-09-17T09:30:00+08:00,6b4422de7109fa5a80b0,RUN_20260916_072846,MORNING_BASELINE,eaadd89d464142d89705,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V4,2026-09-16,3090251,2026-09-17T05:00:00+08:00,34776046e694b56e22f3,RUN_20260916_072846,MORNING_BASELINE,d4e080a6059db9362970,RUN_20260916_205341,False,False,False,False,False,False,False,保持
V4,2026-09-16,3069962,2026-09-17T06:00:00+08:00,d0c0a2f68b9ac2946e81,RUN_20260916_072846,MORNING_BASELINE,1fc9fb4800b10dd0cbeb,RUN_20260916_205341,True,True,True,True,True,True,True,改向
V4,2026-09-16,3072984,2026-09-17T06:00:00+08:00,a55cec623f7f58fb6c00,RUN_20260916_072846,MORNING_BASELINE,4101f278df0e1ab3837f,RUN_20260916_205341,True,True,True,True,True,True,True,撤出
V4,2026-09-16,3090249,2026-09-17T06:00:00+08:00,976f0da43ba62a2e7831,RUN_20260916_072846,MORNING_BASELINE,44d493ce6a80eea8320e,RUN_20260916_205341,True,True,True,True,True,True,True,改向
V4,2026-09-16,3090250,2026-09-17T06:00:00+08:00,df8b2af43056b4e57c25,RUN_20260916_072846,MORNING_BASELINE,a1c0424070086e9b4b68,RUN_20260916_205341,True,True,True,True,True,True,True,改向
V4,2026-09-16,3059139,2026-09-17T06:00:00+08:00,d646b48afeaaf156c830,RUN_20260916_072846,MORNING_BASELINE,571b3405d4375c0453ce,RUN_20260916_205341,True,True,True,True,True,True,True,改向
V4,2026-09-16,2942617,2026-09-17T06:00:00+08:00,d21d79c5b590e5fab638,RUN_20260916_072846,MORNING_BASELINE,e924f6927ad2c07fa77f,RUN_20260916_205341,True,True,True,True,False,True,True,改向
V4,2026-09-16,3085728,2026-09-17T06:00:00+08:00,0973971c8b7d6a6d8a5c,RUN_20260916_072846,MORNING_BASELINE,0973971c8b7d6a6d8a5c,RUN_20260916_205341,False,False,False,True,True,True,True,撤出
V4,2026-09-16,2910828,2026-09-17T06:30:00+08:00,6c78cd3e2d8f95c5abb8,RUN_20260916_072846,MORNING_BASELINE,6c78cd3e2d8f95c5abb8,RUN_20260916_205341,False,False,False,True,False,True,True,水位变化
