list_date,group,value,frozen_bettable,settled,counts,effective_win_rate,pnl_1u,roi,settled_roi,roi_denominator,pending,real_money
2026-09-23,competition,中北美国联,2,2,"{""P"": 1, ""L"": 1}",0.0,-1.0,-0.5,-0.5,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,亚运男足,1,1,"{""W"": 1}",1.0,1.01,1.01,1.01,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,以乙南,2,2,"{""L"": 1, ""W"": 1}",0.5,-0.01,-0.005,-0.005,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,北马其甲,1,1,"{""HL"": 1}",0.0,-0.5,-0.5,-0.5,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,南美女运,1,1,"{""W"": 1}",1.0,1.03,1.03,1.03,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,哥伦甲秋,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-23,competition,国际友谊,1,1,"{""P"": 1}",,0.0,0.0,0.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,女欧罗巴杯,2,2,"{""W"": 1, ""L"": 1}",0.5,0.11,0.055,0.055,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,尼日超,2,2,"{""L"": 2}",0.0,-2.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,日皇杯,3,3,"{""W"": 2, ""HL"": 1}",0.8,1.28,0.4267,0.4267,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,欧女杯,2,2,"{""W"": 1, ""L"": 1}",0.5,0.05,0.025,0.025,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,海湾运,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,美冠联,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,美职业,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-23,competition,英协联杯,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,competition,非青杯外,2,2,"{""P"": 2}",,0.0,0.0,0.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,selected_side,giving,8,8,"{""P"": 2, ""L"": 2, ""W"": 3, ""HL"": 1}",0.5454545454545454,0.29,0.0363,0.0363,FROZEN_BETTABLE_1U,0,False
2026-09-23,selected_side,receiving,16,14,"{""P"": 2, ""W"": 4, ""L"": 7, ""HL"": 1}",0.34782608695652173,-3.32,-0.2075,-0.2371,FROZEN_BETTABLE_1U,2,False
2026-09-23,grade,A,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,grade,B,1,1,"{""P"": 1}",,0.0,0.0,0.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,grade,C,22,20,"{""P"": 3, ""W"": 7, ""L"": 8, ""HL"": 2}",0.4375,-2.03,-0.0923,-0.1015,FROZEN_BETTABLE_1U,2,False
2026-09-23,line,-1.25,1,1,"{""HL"": 1}",0.0,-0.5,-0.5,-0.5,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,-1.5,2,2,"{""L"": 1, ""W"": 1}",0.5,-0.19,-0.095,-0.095,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,-2.0,3,3,"{""P"": 2, ""L"": 1}",0.0,-1.0,-0.3333,-0.3333,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,-2.25,2,2,"{""W"": 2}",1.0,1.98,0.99,0.99,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,0.25,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,0.5,5,4,"{""W"": 3, ""L"": 1}",0.75,2.07,0.414,0.5175,FROZEN_BETTABLE_1U,1,False
2026-09-23,line,0.75,5,4,"{""W"": 1, ""L"": 2, ""HL"": 1}",0.2857142857142857,-1.39,-0.278,-0.3475,FROZEN_BETTABLE_1U,1,False
2026-09-23,line,1.0,3,3,"{""P"": 2, ""L"": 1}",0.0,-1.0,-0.3333,-0.3333,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,3.25,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-23,line,4.25,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-24,competition,哥伦甲秋,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-24,competition,国际友谊,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-24,competition,墨西甲春,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-24,competition,欧国联,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
2026-09-24,competition,海湾运,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-24,selected_side,giving,4,0,{},,0,0.0,,FROZEN_BETTABLE_1U,4,False
2026-09-24,selected_side,receiving,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
2026-09-24,grade,B,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
